ID	sentiment	sentence
140	pos	@ hahaha! well if they ever run out of ideas, i'm nominating you to come up with some good ones. 
141	pos	a friend feels like a beer on a monday night. that's never good. but beer is always good. always. 
142	pos	@ one usually follows the other, no? 
143	pos	@ thanks, special 72! 
144	pos	good luck for lauren and the rest of the cast of tbs, can't wait for something to leak 
145	pos	shoot for the moon! even if you miss, you'll land among the stars. 
146	pos	@ hmm, that i don't agree with entirely because i am most creative &amp; vibrant @ night for some reason...but i need 2 sleep too 
147	pos	@ nada just tryna holla holla. hows the mixtape coming up?
148	pos	@ yep it makes it so much easier to get points across in 140 
149	pos	@ the freezer-worthy @ has already given it her scholarly attention, but i suppose another set of eyes could hurt not.
150	pos	URL - my cupcakes 
151	pos	@ and its a wonderful thing! i'm all in favor of using the entire english language (shit, i use #expletives too, i think) 
152	pos	@ haha! i'm not saying u should try it.. but maybe u should 
153	pos	back from school, long walk! its flippin cold outside 2 days ago it was sunny, next day raining, and today snowing!
154	pos	@ i just ate raw cookie dough out of a tub and now to bed. we must be kindred spirits 
155	pos	@ : agreed. internet? random. but i like random. watched dirty dancing, great movie, i thought of your song.. nighty night
156	pos	@ just use tweetdeck and you can update facebook and twitter at the same time 
157	pos	@ - dude, stars are always awesome. surprised to see you tweeting.
158	pos	@ k. i'll try to figure it out. i'm gonna go to bed. night night 
159	pos	amazing night with llama and malcolm and megan&lt;--fuck the theatre! 
160	pos	@ just had a martini myself. 
161	pos	city all day soo happy to be home. school in the morning 
162	pos	my spring break= watching moviess all day everyday for a week 
163	pos	@ &quot;grandpa wants an ice chest and some beef.&quot; george lopez ruless!
164	pos	@ thank you katie! heading to the club as we speak! you have yourself a stellar night as well... take it easy homey!! 
165	pos	URL where have all the flowers gone, peter paul &amp; mary my fav, def.
166	pos	shh....time to watch the hills. 
167	pos	since posting the 2 new photos on my website with the kids my hit count went up...way, way, way up. love to china for 5,00 views alone. 
168	pos	@ oh its real jon! we all r so excited that u and the guys came back 4 us. we appreciate all you put out there! 
169	pos	@ thank you! am at home pretty much everywhere. provided i have broadband ...kiddin' 
170	pos	callin it a night! i always have the best sleep after a good workout!! 
171	pos	@ feels pretty good doesn't it? 
172	pos	@ but you did go to hash bash anyway.. 
173	pos	@ correction, i got a badass fringe. 
174	pos	@ hmm, sure sure so what r u upto ? hows the day for u?
175	pos	@ i agree. my kids got &quot;who am i&quot; 4 christmas. it's bn fun but i caught my 4 yrold cheating by looking at reflection in tv
176	pos	my hair is blue. 
177	pos	@ thank you for the kind words! i appreciate it. have a great night 
178	pos	stressing over this math test...uhh....2 days till spring break!! 
179	pos	@ uh, because we really need each other, plus, you'd be my designated driver on pch 
180	pos	@ whatcha chucklin bout ms.yen 
181	pos	@ the gym is an awesome place! work it out 
182	pos	@ hmm think we need to get you climbing up hills .. you'll be really sining then 
183	pos	just won 20$ on unc game 
184	pos	really tired. going to prepare for bed. g'night! 
185	pos	@ the new story of your life will include magic fountain with me 
186	pos	im getting nervous that this trip tomorrow may be a little boring. haha oh well, i always have my trusty ipod and my books of course lol
187	pos	should be going to bed... maybe i'll do that... but i'm thinking i'll put on anastasia on my laptop as i fall asleep 
188	pos	@ URL - i love ur top 
189	pos	still buzzing from sietar... thanks to @ for pushing the old boundaries - boy, someone could make money off a twitter manual... 
190	pos	@ i have terrible back and neck aches too... get a good chair, that will help. i am waiting for my &quot;swopper&quot; to arrive. 
191	pos	@ hellz yeah, definitely downloading. thanks 
192	pos	URL - we are so stinkin cute 
193	pos	@ hahah not yet! but soon. very soon 
194	pos	very happy with my new blog design - nice to see recent post and popular posts listed together, and it looks great! 
195	pos	@ we have much more than that in common my friend!! 
196	pos	@ better be. i don't wanna have to come find u and save the dog. but i would! i'm all 4 the animals . call off the twit police
197	pos	@ nilagyan mo ng knorr seasoning mix ulit ung pancakes mo?! hehehe. teka, heaven and eggs ba to? 
198	pos	@ hello westney what are you doing ?? x
199	pos	@ well my night seems pretty boring in comparison to the strokes you've experienced tonight 
200	pos	@ i love the way you draw giraffe eyelashes. 
201	pos	@ ahh shiner bock in austin yes! thanks for the twitter @ so i can relive too 
202	pos	@ glad to read it! 
203	pos	spent the evening outside in the beautiful warm weather. finally feels like spring 
204	pos	pullin an all nighter wit my bffl madison 
205	pos	@ thanks for putting on such a great event. can't wait for the inevitable sequels! 
206	pos	i don't know why i still find this hilarious after hearing it like 200 times in a row, but i doo ? URL
207	pos	@ you are too 
208	pos	@ that big oaf can play piano? 
209	pos	bryon is my tea bitch 
210	pos	@ oh, they can stay. you on the other hand... 
211	pos	i am gonna help my mom get a twitter 
212	pos	@ yup!! saw the entire match....reached office late.. 
213	pos	going to bed. my bb isn't working &amp; i'm bored. night all. love me harder tomorrow, than you did today. peace, prayers, &amp; blessings.
214	pos	@ ya we did trying to beat traffic but ya hope to be back soon 
215	pos	india wins a test series in new zealand after 41 years! if it wasnt for rain on the final day, india would have won the third test too 
216	pos	@ was driving in old madras road on my bike!! there is no concept called parking on the side 
217	pos	@ can i apply to be in your class too? 
218	pos	is reading manga URL
219	pos	@ thanks....it seemed the right moment. i love your show. your songs bring me joy.
220	pos	@ roflmao... niqqa please. you ackin' a fool now. 
221	pos	@ URL - URL 
222	pos	@ also, your website seems to be down, fyi. pity, i wanted to check it out sure you knew that though.
223	pos	@ so let's make it right! 
224	pos	@ we.... went professional in october 2008, we've just not update any of our websites or anything until yesterday 
225	pos	@ thanks for the tip on sam's club! 
226	pos	@ yep mornings are the best! nighttime is chill time 
227	pos	@ yay!! hehe twins 
228	pos	@ thank you 
229	pos	&quot;city of ember&quot; was awesome!! so have to finish the book and read the next one (ones?) now. time for bed possibly? who knows, really. xd
230	pos	omg, i would have died!! actually no, i take that back...i keep an updated version on my x:drive so it's all good 
231	pos	@ you and i mate! 
232	pos	just watched the movie wanted... it was pretty darn good.
233	pos	just got home from neil's. watched nick &amp; nora's playlist... pretty funny 
234	pos	@ ah yes, twitter seems to be the perfect venue for whining and wasting time. now that's my idea of fun 
235	pos	@ hell yeah! there's the effin man! 
236	pos	@ dont be lazy............try a few out.... tools are to make life easy for lazy people 
237	pos	@ oh goodness, i didn't know you could message friends on here! hello ai 
238	pos	thinks everyone needs to go buy tina parol's song who's got your money on itunes ... now! 
239	pos	can't wait for vegas 
240	pos	@ hey debby 
241	pos	one sixty six in bowling. holy shit lol 
242	pos	dear dbq, you were a pain in the ass. i'm glad i'm done with you! 
243	pos	and now off to bed after an amazing night chatting with a pretty amazing guy ( you know who you are)
244	pos	@ what a coincidence! i was just stalking your twitter feed and the gsoc news. ;) i'm doing great, thanks. how about you? 
245	pos	has discovered that she loves easter crafts, eggs, hot cross buns... feel like watching the prince of egypt to aid my easter meditations 
246	pos	didn't get my nap before, thinking i really need one now. be back later, twitterpeeps. 
247	pos	trying to figure out a way to pay it forward 
248	pos	oh oh oh!! gonna go buy twilight on dvd today i have to extend my overdraft for the 2nd time in as many weeks so i may aswell!!
249	pos	my very first twitter aww
250	pos	@ glad you like 
251	pos	@ woo, you won't regret it. 
252	pos	@ thanks so much 
253	pos	please?: URL
254	pos	@ haha i saw that one the other day. sad. i'm entirely too addicted to that site now. endless laughs 
255	pos	@ this is nuts! thanks i am dying over heah!
256	pos	@ hey mark, i want to know if the song &quot;life's so boring&quot; is really blink 182 , please tell me doubt been on my head for years
257	pos	@ by jordan, i think he's got it! 
258	pos	up and running, london calling 
259	pos	what a day i just loved it. sun, food and my girls cannot be beaten. eyy! i bused it home too hahaa. have an ace time darl. xx
260	pos	just got home from school (: meant to be getting my hair cut .. but i cbf. lol dancing soon 
261	pos	sleep, then an interview tomorrow! wish me luck 
262	pos	awwh babs... you look so sad underneith that shop entrance of &quot;yesterday's musik&quot; o-: i like the look of the new transformer movie 
263	pos	@ i just friended you on lj 
264	pos	eating ice cream to reduce the heat 
265	pos	wow san diego is so beautiful. even more so now that we won but whats a good game without a good fight(;
266	pos	@ @ doing a disciplinary phd with the support/structure of a new media program like that sounds heavenly 
267	pos	must sleep, big day tomorrow. two tests and class registration for next sem. ahh! goodnight, twitterers 
268	pos	@ i've seen one of those aisles in borders in oxford. they're... well, tragic 
269	pos	@ erin esurance is so hot. carry on 
270	pos	@ not there yet. and i beleive so red carpet sighting i hope.
271	pos	the cars in fast and furious get me excited 
272	pos	@ jennifer 
273	pos	@ wall-e is a great battle for stress. yay for staying up all night and doing homework together!
274	pos	it's been a while since i have watched the cosby show, i forgot how funny it was but can't sleep though grr
275	pos	@ hehe, thanks was going for the incendiary headline this time 
276	pos	@ happy morning! 
277	pos	@ um, my kids get up at 5am &amp; need their breakfasts cooked, you ready? 
278	pos	@ i wasn't late i was right on time
279	pos	@ thanks buddy *high fives* hehe 
280	pos	@ could not agree more!the unison&amp; committment was incredible.considering the pressure they r under made it all the more amazing 
281	pos	@ lol! you counted 15 times! yeah, it was a drag today...wasn't sure if my tweets were going out. seems to behave now though 
282	pos	@ URL - and you are cooler than her she just wants the babiiess o_o hahahaha 
283	pos	@ heyy want to hook it up!! lol 
284	pos	saddle ranch comedy night. then back to the boy's house 
285	pos	today i performed for the first and last time at the grebel talent show. 4 exams left until undergrad is over 
286	pos	@ white!! 
287	pos	@ haha... sarapan aja belum kok, udah disamperin sama client di rumah... 
288	pos	@ i do embrace the simple life. simple things like a new kids reunion makes me an extremely happy girl 
289	pos	@ need to send 'em to my accountant tomorrow. oddly, i wasn't even referring to my taxes. those are supporting evidence, though. 
290	pos	@ sigh, wish i could have a gmic meeting here in san diego! spoke to johanna already, she said it was great... 
291	pos	had a wonderful portland evening! thanks carrie 
292	pos	6:37 in the morning and haven't been sleep yay!
293	pos	headed off to wal*mart for more boxes. uber excited 
294	pos	@ scowls are a lot more temporary than adulthood 
295	pos	i'm melting. *sighs* serendipity is such a sweet sweet movie. i love it. 
296	pos	@ wake up with ah jon tweet. the best start for my day thx jon love you
297	pos	got an inspiration -&gt; dyeing my hair! 
298	pos	just created this account...looking around 
299	pos	@ i'm gunna do both of those things 
300	pos	URL - so far, it is interesting. 
301	pos	haven't tweeted nearly all day posted my website tonight, hopefully that goes well night time!
302	pos	@ that's a long-time, good for you! 
303	pos	(@thuquoc) jizzin' in my pants excited about seeing armin van buuren tomorrow 
304	pos	@ good luck, and let me know how it goes! 
305	pos	@ congrats from peru! you were/are amazing! i was speechless,thank u so much! come here someday plz, ill wait forever seriously! 
306	pos	@ congrats on the newborn! our first is due in june 
307	pos	dodgers beat the padres go blue!
308	pos	@ lol esp when your updates hit my phone... 
309	pos	@ i'm just glad you appreciate iowa. come back in late summer when they're cutting hay... best..smell.. ever!
310	pos	@ having fun, loving life, happy to be in the game. everything else is a bonus. not just bs either!
311	pos	@ URL is there anything i can do 
312	pos	but i do not mind. goodnight
313	pos	@ oh lets let it be a surprise. 
314	pos	proud future member of the r.b. 
315	pos	@ heyy! you got those pictures of donnie's gift on the usb stick?! 
316	pos	giant drag &quot;wicked game&quot; ? URL #musicmonday - better than the original &amp; the commercial promo song for nip/tuck season 5! 
317	pos	@ fabulous post about wordahead! and overall loved your blog.
318	pos	much luv to @ &amp; @ who's now following me on twitter!! 
319	pos	@ @ rocks. but don't tell her i said that 
320	pos	@ if it's something you will enjoy and will make you happy, why not do it? 
321	pos	just discovered tonight that her church is serving breakfast on easter! (i'm not sure why this is so exciting, but i suspect the baby...)
322	pos	@ 
323	pos	@ morning 
324	pos	finally back on twitter 
325	pos	god sho love him some me feeling really really blessed tonight++
326	pos	@ i can't wait to see you buddy 
327	pos	@ thanks allan! they are photos from a joolz soiree i held up in brisbane last year 
328	pos	there is link about how to enjoy dark chocolate within the post.. URL
329	pos	@ if i know how to do something, and have time... its so easy to answer 
330	pos	wow, the house looks so different...and oh my god my doggies 
331	pos	ahh loved this sunny day....i am working a good sun burn on my nose 
332	pos	@ i had to read it last semester. by &quot;read&quot; i mean skim for keywords and read online outlines. got an a too 
333	pos	@ yay! love box.net my first business partner sam ghods is on the founding team. so proud of him 4 building an excellent utility
334	pos	@ glad to hear that you had such a great night! you rock &amp; i hope tonight is just the 1st of many feel good shows for you! 
335	pos	anyone else catch scott bakula's &quot;oh boy&quot; in #chuck tonight? 
336	pos	@ the media is a trip [period] we have to guard our minds...along with our hearts. don't fret ms.badu ur the best!! its true 
337	pos	ahh, the tedium of fixing broken file links in inventor. good times. 
338	pos	@ where!!?!? 
339	pos	@ mondays are what you make of it. 
340	pos	well in the past two days i have had 45 min. of sleep. i'm going to watch tv while laying in bed and try to sleep.. night peepers 
341	pos	i'm officially going to bed! goodnight 
342	pos	i now have painting clothes! 
343	pos	@ lol not yet my brutha from anotha mutha 
344	pos	ryanrossfanz &lt;-- follow them! ryan is uber!
345	pos	@ you close your eyes and pick one and hit reply. 
346	pos	@ connections academy has been great for our family...and thousands more across the country! happy to tell you more 
347	pos	@ hum nice 1! lol take something..lol yeah party over there, haha u kno them drunk ass's will i b seeing you @ janets party??
348	pos	#nightcard the star: what a wonderful card for a new beginning both for you and ankie 1.0 welcome! 
349	pos	loves the german bakeries in sydney. together with my imported honey it feels like home 
350	pos	i'm an uncle now! 
351	pos	@ levon...couldn't have said it better my self. 
352	pos	@ i should change my name to qoosfr (queen of obscure science fiction references) instead of cbn2, which only 1 person understands. 
353	pos	@ our picnic will be fabulous!
354	pos	@ welcome back to nyc! 
355	pos	@ sorry i am talking to my best friend.. so i havent replied!! but i can talk to you too!
356	pos	@ oh ok then i am gonna go and buy one for when i come up there 
357	pos	tafe quiz then photoshoot with my sezdawg 
358	pos	@ good luck with your challenge 
359	pos	oh oh found some clothes!! and i love em xd
360	pos	rocking out to no doubt and gonna start up some more neverwinter nights 
361	pos	@ phew! all that hair, gyal! 
362	pos	keepin it real. 
363	pos	&lt;-- branded 
364	pos	i'm adding my fellow pfers. nice to see so many of us here, too! 
365	pos	had a good time at eat n park drinking a latte and playing munchkin impossible with @ 
366	pos	@ - i'm sure you and your site will! 
367	pos	@ good luck with the cruise!! your gonna need it! 
368	pos	@ well, i'm doing whatever our neighbor tells us, and if that produces vegetables, i'm cooking them!
369	pos	@ hi there, cel. how are you doing today?
370	pos	@ good morning, chubbx how are you today?
371	pos	@ don't blame me. i just like good things. ;)
372	pos	@ okay! i think little oven again on wednesday! 7-9pm?
373	pos	@ that's most excellent lotsa people loving you hehe *winks*
374	pos	@ it's an odd little thing isn't it, 'is it from another planet?'.... but i think i like it 
375	pos	amidst all these recession talks, my friend told me yesterday that she got a pay hike it sure is a nice to hear that.
376	pos	is now using windows and tweetdeck... temporarily... 
377	pos	i joined shoedazzle society by @ i am excited! can't wait for my shoe selection! link: URL
378	pos	@ i know - i should have made some, taken them to my meetings &amp; i should have foreseen my sister was going 2 pick up a stray 
379	pos	@ you can direct message us/me/all of us...whatever you want 
380	pos	@ here it is URL
381	pos	week 2 of the fitness challenge and i'm starting off strong. just submitted my stats for the night and it ain't bad 
382	pos	your following for a reason..... URL
383	pos	i missed twitter, ym, multiply and pet society. i haven't been able to use the internet because i was quite busy for the past few days. 
384	pos	@ juz watchin' 3 eps. of your show hm, i must say i instantly became a fan of urs! ;d lovin' ur humor so mucho! more power 2 u! 
385	pos	i have a new background it didn't exactly work how i wanted but i was bored with the old one.
386	pos	if you are at #paragon please vote my work! lol
387	pos	@ i keep forgetting you are in a different time zone than normal! i see your 'tweets' about the morning when it's 10:45pm here! 
388	pos	@ do you have an example of the animation? i mean a youtube video or something? i'm curious to see it work. snowing there too? 
389	pos	@ need an invite to hunch? 
390	pos	@ thought you were a mac 
391	pos	@ maybe jordan could help you answer a few? just an idea.. 
392	pos	finally made my map of panama. &quot;what's a panama, is that like an animal?&quot; haha love my friends 
393	pos	@ 
394	pos	@ i will gladly give you the squirrel in jenny's house if you join us. a squirrel. it'll kill two birds with one stone! 
395	pos	got the vocals done! now time for the best part: the music track or bed! whichever you wanna call it lol 
396	pos	will be part of my friend's wedding entourage. in tagalog, abay sa kasal. i'll be carrying the veil. thanks, mau. 
397	pos	@ it's the weather, petal. don't sweat it ... oh ... ... sorry ... 
398	pos	@ hey there ! how are you today? 
399	pos	whoops, sorry to anyone trying to email me earlier today. my inbox was full but should now be empty 
400	pos	@ lol i wasnt complaining just making sure @ wasnt getting off before me but @ cleared that up 
401	pos	@ that is one freaky movie. i like &quot;i got life&quot; 
402	pos	megan is hanging out 
403	pos	going to bed and then up early to prep for an interview in cleveland tomorrow 
404	pos	a healthy remedy for you and your dog URL #dogs
405	pos	that was sick. soma rocks. 
406	pos	@ yep..lol i was bored... edward is hunting with the guys..
407	pos	@ heyy you 
408	pos	studying philosophy and math... &lt;--blah aka listening to music and on twitter, facebook, and myspace 
409	pos	@ there is no way on earth that you can answer everyone will you ask donnie if he got the gift from my 9 yr old lastnight?
410	pos	on my psp browser for the first time in over a year 
411	pos	@ good luck to you 
412	pos	is glad the angels won their first game of the season. 
413	pos	@ i have absolutely no doubt that i will! here's to your continued success 
414	pos	another day in the office... 2 days to go. URL
415	pos	@ nice yeah so wish i could afford those things
416	pos	@ i want to see that too! but it'll take so long to get 800 friends.. 
417	pos	uploading the greatest cartoon from the newspaper ever - regarding twitter. 
418	pos	@ glad you liked! that henry ford had a good idea every now and then, didn't he? 
419	pos	studying with friends! that's my update
420	pos	@ im glad everythings going good for you guys 
421	pos	@ don't worry about it, we are just happy to have you on here! 
422	pos	@ i'll get those stuff fr the uk/japan. if i'm desperate enough for headphones from the us, i might do jac. my tita can be slow. 
423	pos	@ you wouldn't happen to still be in nyc doing gigs on friday or saturday next week? 
424	pos	ty @ - soon i upload too emmylou harris � i'll be your baby tonight (gr8fl) ? URL
425	pos	cheeck thiss hand cuz im marvelous ;) boy.. idk hoow im gona make it threw this week 
426	pos	watching seven pounds with my mom. i hope i dont fall asleep. aftermidnightproject tomorrow! 
427	pos	@ awesome. home from work around 430, and then have to take the puppy out, then to capones. 
428	pos	@ that photo is vegas 
429	pos	@ yeah! opening day too!
430	pos	@ i feel you i hate working out too! but our results will be major! when you look good you feel good! 
431	pos	@ the a's are my al team 
432	pos	had a really good day off to do some shopping
433	pos	@ ok..i did it...hope it works now 
434	pos	@ good night sweet dreamz
435	pos	@ i hope that scentsational doesn't get dissed 
436	pos	will invite people to twitter. 
437	pos	@ @ coming soon enough my friends - big project in works for just that - good new and only good news 
438	pos	@ woohoo! yeah that day i was rockin it hard core 
439	pos	@ hey jon we all love ya and understand,that's all it counts 
440	pos	@ no internship yet but ive got a place to stay. w/ any luck i'll spend some time in teaneck before heading back to utah 
441	pos	if i can make it to bed without running into a wall or tripping over my own feet, that is. heh. 
442	pos	@ yes, using it for 3 week now. pretty happy with the result 
443	pos	@ exactly!! 
444	pos	i wonder how long i can stay up until i pass out and wake up again at 6 
445	pos	@ great words of wisdom d-dub!! now can you tell the doctor to let me have some alcohol &amp; caffeine!! 
446	pos	@ so good knight and sleep well. i know i will now!! 
447	pos	exhausted! but glad i got to see unc become national champs! 
448	pos	centrelink wasnt as bad as i thought it was going to be !! 
